beruf,isco_code,beschaeftigte_1000,frauen_pct,branche,lohn_median_chf,qualifikation,esco_uri,esco_titel,esco_beschreibung,score_gesamt,score_digital,score_wiederholbarkeit,score_physisch,score_kreativitaet,score_sozial,haupt_risiko,zeitrahmen,begruendung,delta_branche,delta_lohn,score_ch,adaptabilitaet,beschreibung_hash,lohnklasse
Compliance Officer,2412,8.0,42.0,Finanzen,130000,Tertiär,http://data.europa.eu/esco/occupation/a950e88b-cb5e-4a7d-8a94-3f9460b487d7,Compliance-Ingenieur/Compliance-Ingenieurin,"Compliance-Ingenieure/Compliance-Ingenieurinnen sind bestrebt, die bestmögliche Vereinbarkeit von Systemen mit den technischen Spezifikationen aufrecht zu erhalten. Sie können die Compliance in einer Vielzahl von technischen Bereichen überwachen, einschließlich mechanischer, elektrischer und elektronischer Systeme. Sie stellen sicher, dass die Technik den Vorschriften, Sicherheitsmaßnahmen und internen Richtlinien entspricht.",6.2,8.0,7.5,4.5,5.5,5.0,"Automatisierte Überprüfung von technischen Dokumenten, Normen und Vorschriften (z.B. ISO, IEC, SUVA-Richtlinien) gegen Systemspezifikationen; KI-gestützte Gap-Analysen und Audit-Trail-Erstellung",3-5 Jahre,"In der Schweiz, mit ihrer dichten Regulierungslandschaft (ENSI, BAV, Swissmedic, IEC-Normen), eignet sich der Compliance-Bereich gut für KI-Unterstützung bei der Dokumentenprüfung und Normenabgleich. Dennoch erfordert die Beurteilung neuer oder mehrdeutiger regulatorischer Situationen sowie die Interaktion mit Behörden und internen Stakeholdern weiterhin menschliches Urteilsvermögen. Physische Vor-Ort-Inspektionen technischer Systeme und die Verantwortungsübernahme bei sicherheitskritischen Entscheiden schützen den Beruf vor vollständiger Automatisierung.",0.3,0.2,6.7,8.4,8b17a42092c0,100k–150k CHF
Spezialisten der traditionellen und komplementären Medizin,2230,7.9,80.7,Gesundheit,90000,Tertiär,http://data.europa.eu/esco/occupation/80a2aba7-ef7d-46ef-a8ec-15ff6131c0f1,Therapeut Traditionelle Chinesische Medizin/Therapeutin Traditionelle Chinesische Medizin,"Therapeuten Traditionelle Chinesische Medizin/Therapeutinnen Traditionelle Chinesische Medizin verwenden alternative Heilmethoden, um Erkrankungen aller Art zu heilen. Darüber hinaus verwenden sie verschiedene Therapien, z. B. Kräuterarzneien, Akupunktur, Massagen und Ernährungsprogramme, um die allgemeine Gesundheit der Patientin/des Patienten zu verbessern und eine Erkrankung zu verhindern.",2.1,2.0,3.5,1.5,3.0,2.0,Unterstützung bei Diagnose und Kräuterrezepturen durch KI-gestützte Mustererkennung sowie digitale Dokumentation und Abrechnungsprozesse,>10 Jahre,"Dieser Beruf ist stark durch körperliche Techniken wie Akupunktur, Tuina-Massage und manuelle Therapien geprägt, die physische Präsenz und haptisches Geschick erfordern und damit schwer automatisierbar sind. Die ganzheitliche, individuelle Patientenbeurteilung in der TCM basiert auf komplexen, kontextabhängigen Diagnosemustern (Zunge, Puls, Konstitution) und einer tiefen therapeutischen Vertrauensbeziehung. In der Schweiz, wo TCM durch EMR-Anerkennung und Krankenkassenleistungen reguliert ist, liegt der Fokus zudem auf menschlicher Therapiequalität und persönlicher Verantwortung.",-0.3,0.0,1.8,5.9,16852d096cf6,60k–100k CHF
"Musiker, Sänger und Komponisten",2652,7.6,35.7,Medien,88000,Tertiär,http://data.europa.eu/esco/occupation/6581aa0d-c807-4091-84cc-bc041f962ab1,Sänger/Sängerin,"Sänger sind Berufsmusiker, die ihre Stimme in einer bestimmten Stimmlage als Musikinstrument verwenden. In verschiedenen Genres treten sie live vor Publikum auf oder spielen Aufnahmen in Studios ein.",3.2,4.5,3.0,2.5,1.5,2.0,"KI-generierte Musik und Stimmensynthese (z.B. Suno, Udio, Voice-Cloning) könnten Studioaufnahmen, Hintergrundmusik und kommerzielle Produktionen ersetzen; Streaming-Plattformen könnten KI-Tracks bevorzugen",3-5 Jahre,"In der Schweiz mit ihrer lebendigen Livemusikkultur (Festivals wie Montreux Jazz, Openair St. Gallen, Zurich Jazz Festival) bleibt die physische Auftrittsdimension weitgehend KI-resistent, da das Publikumserlebnis und die emotionale Präsenz zentral sind. Jedoch sind kommerzielle Studio-Produktionen, Werbemusik und digitale Inhalte bereits heute durch KI-Tools unter Druck, was besonders Berufseinsteiger und Studiomusiker in der Schweiz betrifft. Die SUISA als Schweizer Urheberrechtsgesellschaft steht zudem vor ungeklärten Fragen rund um KI-generierte Werke, was die wirtschaftliche Basis von Musikschaffenden zusätzlich unter Druck setzt.",0.0,0.0,3.2,6.4,1a1edf258af3,60k–100k CHF
Führungskräfte in der Produktion im Bau,1323,7.6,4.4,Gastgewerbe,85000,Tertiär,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,Führungskraft in der Produktion von Waren,,3.8,5.0,4.0,3.0,4.5,3.0,"Planungs- und Koordinationsaufgaben wie Ressourcenplanung, Fortschrittsüberwachung, Berichtswesen und Kostenkontrolle könnten durch KI-gestützte Projektmanagement-Tools und Building Information Modelling (BIM) zunehmend automatisiert werden.",5-10 Jahre,"Führungskräfte in der Bauproduktion kombinieren operative Koordination auf der Baustelle mit administrativen und planerischen Tätigkeiten, wobei letztere zunehmend digitalisiert werden. In der Schweiz treibt die Branche die BIM-Adoption voran, was Teilaufgaben automatisiert, jedoch bleiben Vor-Ort-Entscheidungen, Führung von Bauarbeiterteams und das Management lokaler Subunternehmer stark von menschlicher Präsenz abhängig. Die hohe Komplexität jedes Bauvorhabens und die regulatorischen Anforderungen im Schweizer Bauwesen limitieren das Automatisierungspotenzial erheblich.",0.0,0.0,3.8,6.2,77f934a06463,60k–100k CHF
Trainer und Betreuer im Bereich Fitness und Erholung,3423,7.5,53.1,Soziales,72000,Sekundär II,http://data.europa.eu/esco/occupation/c784c2db-e636-429f-8492-3191790a58d7,Fitnesstrainer/Fitnesstrainerin,"Fitnesstrainer steigern die Fitness neuer und bestehender Mitglieder durch Fitnessübungen, die ihren Bedürfnissen entsprechen. Sie unterweisen Einzelne oder Gruppen in Fitnesskursen, bei denen auch Geräte eingesetzt werden. Sowohl Einzel- als auch Gruppentrainer sollen für eine sichere und wirkungsvolle Ausführung der Übungen sorgen.  Je nach den Umständen sind zusätzliche Kenntnisse, Fähigkeiten und Kompetenzen erforderlich.",2.8,2.5,4.5,1.5,3.5,2.0,"Trainingsplanerstellung, Fortschrittstracking und Ernährungsempfehlungen könnten durch KI-Apps (z.B. personalisierte Fitness-Apps wie Future oder Freeletics) teilweise übernommen werden; Verwaltungsaufgaben wie Stundenplanung und Mitgliederverwaltung sind automatisierbar",5-10 Jahre,"Der Beruf ist stark auf physische Präsenz, Körperwahrnehmung und menschliche Motivation angewiesen, was KI-Automatisierung grundlegend erschwert. In der Schweiz mit hohem Qualitätsanspruch und Zahlungsbereitschaft für persönliche Betreuung bleibt der menschliche Trainer langfristig gefragt, insbesondere im Premium- und Rehasport-Segment. KI kann unterstützende Rollen übernehmen (z.B. Bewegungsanalyse per Kamera, App-basierte Trainingspläne), ersetzt aber nicht die motivierende und korrigierende Präsenz eines echten Trainers.",0.0,0.0,2.8,4.1,4675743e2216,60k–100k CHF
Handelsmakler,3324,7.4,28.7,Finanzen,82000,Sekundär II,,Handelsmakler,,6.8,8.5,6.5,7.5,5.5,4.0,"Automatisierte Matching-Algorithmen und KI-Plattformen (z.B. für Immobilien, Waren oder Finanzprodukte) können Angebot und Nachfrage effizienter zusammenführen, Preisfindung optimieren und Transaktionsprozesse digital abwickeln – ohne menschlichen Vermittler.",3-5 Jahre,"In der Schweiz sind digitale Handelsplattformen (z.B. im Immobilien- oder Rohstoffbereich) bereits weit verbreitet, was den Druck auf klassische Maklertätigkeiten erhöht. Repetitive Tätigkeiten wie Marktrecherche, Preisvergleich und Dokumentenmanagement sind stark automatisierbar. Der Beruf bleibt jedoch für komplexe, vertrauensbasierte oder regulatorisch anspruchsvolle Transaktionen – typisch für den Schweizer Finanz- und Handelsplatz – vorerst auf menschliches Urteilsvermögen angewiesen.",0.3,0.0,7.1,5.9,7ade2eb8d1b6,60k–100k CHF
Reisebegleiter und Stewards,5111,7.4,70.4,Gastgewerbe,52000,Sekundär II,http://data.europa.eu/esco/occupation/58ff0ec2-08ba-4b21-b765-babb6d76ca36,Steward/Stewardess,"Stewards/Stewardessen erbringen Dienstleistungen im Zusammenhang mit dem Servieren von Speisen und Getränken bei Reisen zu Land, zu Wasser oder in der Luft.",3.2,2.0,5.5,2.0,4.5,2.5,Bestellungsaufnahme und Zahlungsabwicklung via digitale Systeme sowie teilweise Serviceautomatisierung durch Roboter-Trolleys in bestimmten Verkehrsmitteln (z.B. Züge der SBB),>10 Jahre,"Der Beruf ist stark physisch und sozial geprägt – insbesondere im Schweizer Luftfahrt- und Bahnbereich (Swiss, SBB) spielen persönliche Betreuung, Sicherheitsverantwortung und Empathie eine zentrale Rolle, die schwer automatisierbar sind. Zwar könnten Teilaufgaben wie Bestellsysteme oder einfache Serviceabläufe digitalisiert werden, doch die Kombination aus Sicherheitsaufgaben, emotionaler Intelligenz und physischer Mobilität in engen, dynamischen Umgebungen schützt den Beruf weitgehend vor vollständiger KI-Substitution. Im Schweizer Markt mit hohen Qualitätsstandards (Hospitality) wird menschlicher Service zudem als Differenzierungsmerkmal aktiv beibehalten.",0.0,-0.2,3.0,3.4,21c9513b2675,< 60k CHF
Führungskräfte in Hotels,1411,7.4,38.9,Gastgewerbe,75000,Tertiär,http://data.europa.eu/esco/occupation/ebb4061a-906f-45fe-b4c0-a871c11f6fab,Sicherheitsbeauftragter des Beherbergungsbetriebs/Sicherheitsbeauftragte des Beherbergungsbetriebs,Sicherheitsbeauftragte des Beherbergungsbetriebs sind für die Steuerung und Umsetzung der gesamten Sicherheit in Beherbergungsbetrieben zuständig. Dies betrifft die Sicherheit sowohl von Habseligkeiten als auch von Personen und Gebäuden.,3.9,5.5,4.5,3.0,4.5,3.0,"Überwachungssysteme (KI-gestützte Kameraanalyse, Zutrittskontrolle, automatisierte Sicherheitsreports) sowie Risikoanalyse und Incident-Tracking könnten teilautomatisiert werden",5-10 Jahre,"Sicherheitsbeauftragte in Schweizer Hotelbetrieben kombinieren physische Präsenz, Lagebeurteilung und menschliches Urteilsvermögen – Fähigkeiten, die KI kaum vollständig ersetzen kann. Zwar könnten digitale Überwachungs- und Meldesysteme durch KI optimiert werden, doch die Verantwortung gegenüber Gästen, Behörden und Personal sowie die Notfallkoordination erfordern weiterhin menschliche Führungskompetenz. In der Schweiz kommen zusätzlich hohe Datenschutzanforderungen (nDSG) und branchenspezifische Compliance-Vorgaben hinzu, die eine vollständige Automatisierung erschweren.",0.0,0.0,3.9,6.1,750f9d98ea69,60k–100k CHF
Bediener von Maschinen zur Herstellung von Nahrungs- und Genussmitteln,8160,7.3,32.4,Industrie,64000,Sekundär II,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,Hydriermaschinenbediener/Hydriermaschinenbedienerin,Hydriermaschinenbediener steuern die Ausrüstung zur Verarbeitung von Basisölen zur Herstellung von Margarine und Backfett.,5.2,3.5,7.5,3.5,7.5,8.0,"Automatisierte Prozesssteuerung und Sensorik können Maschinenparameter (Temperatur, Druck, Durchfluss) überwachen und anpassen; SPS- und SCADA-Systeme können Bedienereingriffe weitgehend ersetzen",5-10 Jahre,"Schweizer Lebensmittelhersteller wie Unilever oder spezialisiertere Betriebe investieren zunehmend in Industrie-4.0-Lösungen, jedoch erfordert die Arbeit in Produktionsanlagen weiterhin physische Präsenz für Wartung, Qualitätskontrolle und Störungsbehebung. Die hohe Wiederholbarkeit der Prozesskontrolle macht Teilautomatisierung realistisch, doch vollständige Substituierbarkeit wird durch regulatorische Anforderungen (Lebensmittelsicherheit, Swissness-Standards) und die Notwendigkeit menschlicher Überwachung gebremst. Ein Rückgang von Bedienstellen ist wahrscheinlich, jedoch kein vollständiges Verschwinden des Berufs.",-0.1,0.0,5.1000000000000005,4.2,7c40b34c2ab7,60k–100k CHF
Bürokräfte in der Material- und Fertigungsplanung und verwandte Berufe,4322,7.2,36.1,Verwaltung,65000,Sekundär II,http://data.europa.eu/esco/occupation/928dd410-c74b-4dab-94b8-fcbdcf541bd1,Zuschneider (Bekleidung)/Zuschneiderin (Bekleidung),"Zuschneider (Bekleidung) markieren, schneiden, formen und schneiden zur Herstellung von Bekleidung Textilien oder verwandte Materialien nach Plänen oder Spezifikationen.",4.8,3.0,7.5,3.0,5.0,8.0,Automatisierte CNC-Zuschneidsysteme und KI-gestützte Schnittmusteroptimierung können repetitive Zuschneidaufgaben in der industriellen Fertigung übernehmen und Materialverschnitt minimieren,3-5 Jahre,"In der Schweizer Textilindustrie, die stark auf Qualität und Effizienz ausgerichtet ist, sind automatisierte Zuschneidmaschinen (z.B. Lectra, Gerber) bereits weit verbreitet. Die physische Handhabung von Stoffen, die Beurteilung von Materialqualität und massgeschneiderte Einzelanfertigungen erfordern jedoch weiterhin menschliches Geschick und Erfahrung. Der Beruf wird sich eher wandeln als vollständig verschwinden, da Schweizer Nischenproduktion und Luxussegment manuelle Präzision weiterhin nachfragen.",0.1,0.0,4.8999999999999995,4.3,cd304a196493,60k–100k CHF
Leiter eines Einzelhandelsgeschäftes,5221,7.1,58.2,Detailhandel,56000,Sekundär II,http://data.europa.eu/esco/occupation/980c52f3-0054-45b1-a6f1-20ee8a1e8b9e,Leiter eines Bekleidungsgeschäftes/Leiterin eines Bekleidungsgeschäftes,Leiter von Bekleidungsgeschäften/Leiterinnen von Bekleidungsgeschäften sind in Fachgeschäften für die Betriebsabläufe und das Personal zuständig.,3.8,5.5,4.5,3.0,4.0,2.5,"Automatisierung von Bestandsverwaltung, Dienstplanung, Kassenabschlüssen und einfacher Datenanalyse (Umsatzberichte, Lageroptimierung) durch ERP- und KI-Systeme wie Salesforce oder SAP.",3-5 Jahre,"Die Leitungsfunktion in einem Bekleidungsgeschäft umfasst stark menschliche Komponenten wie Personalführung, Kundenbindung und situatives Krisenmanagement, die schwer automatisierbar sind. In der Schweiz mit hohen Lohnkosten und anspruchsvollen Konsumenten ist die persönliche Servicequalität ein zentrales Differenzierungsmerkmal, was die Bedeutung menschlicher Führung unterstreicht. Administrative Teilaufgaben wie Reporting, Bestellwesen und Schichtplanung werden zunehmend KI-unterstützt, die Gesamtfunktion bleibt jedoch auf menschliche Präsenz angewiesen.",0.2,-0.2,3.8,4.3,3690ac024c95,< 60k CHF
Medizintechniker im Bereich Labor und Pathologie,3212,7.1,79.4,Gesundheit,68000,Sekundär II,http://data.europa.eu/esco/occupation/4a5b3686-eea4-4ba0-b446-33f7b6a95aed,Pathologieassistent/Pathologieassistentin,"Pathologieassistenten unterstützen Fachärzte in der Pathologie bei postmortalen Untersuchungen, bei der Dokumentation von Proben, Organuntersuchungen und diesbezüglichen Befunden und kümmern sich um eine angemessene Entsorgung unter Aufsicht und nach den Anweisungen des Arztes.",3.8,4.5,5.5,2.5,5.5,6.0,"Digitale Dokumentation von Befunden, Bildanalyse histologischer Präparate (digitale Pathologie/KI-gestützte Gewebeerkennung) sowie standardisierte Probenverwaltung und -klassifikation könnten teilautomatisiert werden.",5-10 Jahre,"Der Beruf ist stark durch physische Handarbeit geprägt – Sektionsassistenz, Organpräparation und Probenhandling erfordern zwingend körperliche Präsenz und manuelle Geschicklichkeit, was die KI-Automatisierbarkeit erheblich begrenzt. In der Schweiz investieren Universitätsspitäler wie das USZ oder Inselspital zwar zunehmend in digitale Pathologie-Plattformen und KI-gestützte Bildanalyse, doch diese Systeme unterstützen primär die Ärzte, nicht den Assistenzbereich. Der verbleibende Automatisierungsanteil betrifft administrative Dokumentationsprozesse und Bildklassifikation, während die Kerntätigkeiten auf absehbare Zeit menschliche Ausführung erfordern.",-0.3,0.0,3.5,4.4,7870b9020803,60k–100k CHF
"Kranführer, Aufzugmaschinisten und Bediener verwandter Hebeeinrichtungen",8343,7.1,7.3,Transport,62000,Sekundär II,http://data.europa.eu/esco/occupation/1de948c1-192a-4810-afb7-48548217a912,Baukranführer/Baukranführerin,"Baukranführer bedienen Krane der Basistechnologie während des Herstellungsverfahrens an einer bestimmten Einheit durch Heben und Bewegen von Lasten (Ballen, Containern, Eimern und anderen Vorrichtungen) mit Rohstoffen und anderen Materialien.",3.8,2.0,6.5,2.5,7.0,7.5,"Ferngesteuerte oder autonome Kransysteme (Remote-Control-Krane, semi-autonome Lastpositionierung via Sensorik und KI) könnten Routinehebevorgänge in kontrollierten Umgebungen wie Häfen oder Lagerhallen übernehmen.",>10 Jahre,"Baukranführer agieren in hochdynamischen, unstrukturierten Baustellenumgebungen mit ständig wechselnden Bedingungen, was vollständige Automatisierung extrem anspruchsvoll macht. In der Schweiz gelten zudem strenge Sicherheitsvorschriften (SUVA, SECO) für den Betrieb von Hebemaschinen auf Baustellen, was autonome Systeme regulatorisch stark einschränkt. Zwar gibt es Fortschritte bei Remote-Control-Lösungen (z.B. für gefährliche Umgebungen), doch das Situationsbewusstsein, die Kommunikation mit Einweisern und das Einschätzen komplexer räumlicher Lagen bleiben mittelfristig menschliche Kernkompetenzen.",0.0,0.0,3.8,3.8,584e78ac3502,60k–100k CHF
Raumgestalter und Dekorateure,3432,7.0,64.4,Soziales,72000,Sekundär II,http://data.europa.eu/esco/occupation/73e776fb-4d99-4031-bad4-7716f121155d,Raumgestalter/Raumgestalterin,"Raumgestalter gestalten oder renovieren Innenräume durch bauliche Veränderungen, Ausstattung und Zubehör, Beleuchtung und Farbgestaltung sowie Mobiliar. Sie verbinden eine effiziente und funktionelle Raumnutzung mit ästhetischem Verständnis.",3.8,5.5,3.5,3.0,2.5,3.0,"KI-gestützte Visualisierungstools (z.B. 3D-Rendering, Raumplanungssoftware) und automatisierte Stil- und Farbvorschläge könnten Teile der konzeptionellen Vorarbeit und Präsentation übernehmen.",5-10 Jahre,"Raumgestalter in der Schweiz arbeiten in einem hochpreisigen Markt, in dem individuelle Kundenwünsche, qualitativ hochwertige Materialien und persönliche Beratung zentral sind – das schützt vor schneller Automatisierung. KI kann Inspirationsboards, Grundrisslayouts und Produktvorschläge generieren und wird als Unterstützungswerkzeug an Bedeutung gewinnen, ersetzt jedoch nicht die physische Ausführung, das haptische Materialverständnis und die empathische Kundenbegleitung. Der Beruf wird sich wandeln, indem KI-Tools als Effizienzsteigerung integriert werden, der kreative und soziale Kern bleibt aber menschlich geprägt.",0.0,0.0,3.8,4.7,98043850d3a5,60k–100k CHF
